SeAt No.,PHY101,MTH101,CHM101,ENG101,ECC101,COM100,ECC102,ECC104,ENG102,MTH102,PHY102,MTH113,MTH251,MTH201,ECC201,ECC203,ECC205,ENG201,ECC215,ECC002,COM339,COM382,ECC301,ECC003,ECC341,MTH323,ECC317,COM333,COM360,COM344,ECC302,ECC303,ECC417,ECC403,ECC426,ECC421,ECC412,ECC413,ECC415,COM490,COM491,CGPA
CS-97001,CB,DC,DC,CC,DC,DC,DD,DC,CB,DC,DC,BB,DD,BA,CB,CC,DC,DC,DD,CC,AA,BB,CC,CC,DC,CC,DC,CC,DC,DD,CC,DC,BB,DC,DC,DC,BA,AA,DC,BB,BA,2.205
CS-97002,AA,DD,DC,DD,CB,CC,DD,AA,DC,DD,BB,CC,CB,DC,DC,DC,DD,CC,DD,DC,CB,BA,DC,CC,BA,DD,DC,DC,DD,CC,DC,DD,DC,DD,CC,DD,BA,CB,CC,CC,BB,2.008
CS-97003,AA,BB,AA,CB,BB,AA,CB,BB,BA,BA,CB,BA,AA,AA,AA,AA,AA,AA,BA,BB,AA,BB,BA,BB,BA,BA,BB,AA,AA,BA,AA,CC,AA,BB,AA,CC,AA,AA,AA,BA,AA,3.608
CS-97004,DD,CC,DC,DD,DD,BA,DC,DC,DD,CC,DD,BB,DC,CB,DD,CC,BB,CC,DD,DC,DC,DD,CB,DC,BB,DC,DC,CB,DD,DD,DC,DD,DC,CC,DC,DC,CB,BB,CC,CC,CC,1.906
CS-97005,BA,BA,BA,BB,AA,AA,BA,BB,AA,BA,CC,AA,AA,BA,BA,BA,CB,AA,BA,CC,AA,CB,BA,BA,CB,BA,CB,BA,BA,BA,CC,DC,BA,BB,BB,CB,BA,AA,BA,BA,AA,3.448
CS-97006,AA,CB,BB,DC,CC,BA,CC,BB,BB,BB,DC,BA,CB,BB,BA,BB,BB,BA,BB,BB,BA,CB,CC,BA,CB,BB,CC,BA,CC,BA,BB,DC,BA,CB,CC,CC,BA,BA,BB,CB,BB,3.026
CS-97007,CB,DC,BA,DD,BA,BB,AA,BB,BA,BB,BA,AA,CC,CC,DC,CB,CB,BB,CC,DC,AA,BB,BB,BA,CC,CC,CB,BB,DC,CC,CC,CC,BB,CC,BB,CB,AA,BA,BB,BB,AA,2.957
CS-97008,BB,BB,CC,CC,CC,BA,DC,BA,BB,BA,BB,AA,BB,BB,CC,BA,BB,BA,CC,CC,BA,DC,BA,BB,BB,BB,DC,BA,CC,CC,CC,CC,BA,BB,BB,CC,AA,BB,BA,BA,BA,3.043
CS-97009,BA,CC,BA,DC,BB,BA,BA,BA,BB,BA,BA,AA,AA,BA,CB,BA,BA,AA,CB,BB,AA,BB,BB,BA,BB,BA,BB,BB,CC,CC,BA,DC,AA,BB,CB,CC,AA,BA,BB,BA,AA,3.358
CS-97010,AA,BB,CC,BB,BB,BA,CC,CB,BA,AA,CC,BA,CB,AA,BA,AA,CB,AA,CB,CC,BA,CB,CB,BB,CB,BA,CC,BA,BA,CB,BB,BB,BB,CB,BB,CB,AA,AA,BA,BB,AA,3.247
CS-97011,BA,CB,BB,DC,DC,CB,CC,CB,AA,BA,DC,AA,CB,BA,DD,BB,CB,BB,CC,DC,BA,CC,BB,CC,BA,BB,CC,BA,CC,DC,BB,CC,BA,CB,DC,DC,BB,BB,CB,DC,BB,2.681
CS-97012,BA,CC,BA,CC,DC,AA,CB,BB,BA,BA,BA,AA,BB,BA,BA,AA,BA,AA,AA,BB,AA,CC,CB,AA,CB,BA,BA,BA,BA,BA,CB,CC,BA,CB,BB,CC,AA,BA,CB,CC,BA,3.281
CS-97013,BB,CC,BA,CC,CB,BB,DC,CC,BB,BA,BA,CB,BB,BB,BA,CC,DC,BB,DC,CC,CB,BA,CB,CB,BB,CC,DC,BA,DD,DC,BB,DC,BA,CC,DC,CC,AA,BA,CB,BA,BB,2.792
CS-97014,AA,DC,BA,DC,BB,BA,CC,BA,BA,BA,DC,AA,BB,AA,BA,BA,BB,BA,CC,BB,AA,BA,BA,AA,BA,BA,BB,BA,BB,BB,AA,BA,AA,BA,BA,BB,BA,AA,AA,BA,AA,3.523
CS-97015,AA,CC,BA,CC,BA,AA,CB,BA,BA,AA,CC,BA,CB,BA,AA,BB,CB,BA,CB,CC,AA,BA,BA,AA,BA,BA,CC,BA,BB,BA,BB,DC,AA,BA,BA,BB,BA,AA,AA,AA,AA,3.443
CS-97016,BA,DC,CB,DD,CB,BB,CB,BA,BB,BA,CC,BB,BA,CB,CB,CB,CC,BA,CC,DC,AA,DC,BA,CC,CC,CB,BB,BA,CB,DD,CC,CB,AA,CC,CB,CC,BA,BA,CC,DC,BA,2.777
CS-97017,BA,DC,AA,DC,BA,AA,BB,BA,BA,AA,BB,BA,BA,AA,AA,BA,BA,AA,BB,CB,AA,CC,BA,BA,CC,CB,CC,BB,BB,BB,AA,CB,AA,CB,BB,CC,BB,BA,CB,BB,BA,3.248
CS-97018,CB,DC,CC,DD,DD,CC,DC,BB,BB,DC,DD,BB,DD,CB,DD,DC,CC,BB,CC,DD,CC,DD,DD,DC,DD,DD,DD,DC,DD,DC,DC,CC,DC,DC,DC,DD,BA,CC,DC,DC,DC,1.787
CS-97019,AA,DC,AA,CC,BA,AA,BA,AA,AA,AA,BB,BA,AA,BA,BA,BA,BB,AA,BA,BB,BA,AA,BA,BA,BA,BA,CB,CB,BA,BB,BA,DC,AA,BA,BA,CB,BA,AA,BA,BA,AA,3.572
CS-97020,BB,CC,BA,DC,BA,BB,BA,BA,AA,AA,BB,AA,BA,AA,BA,BA,BA,AA,BB,BB,BA,BA,BB,AA,BB,CB,CC,BB,AA,BB,BA,DC,BA,BB,BA,BB,BA,AA,BA,BA,AA,3.483
CS-97021,BB,CC,BB,DC,CB,DC,DC,DC,DC,BA,DC,BA,CB,DC,BB,CB,DC,CB,DC,DC,BA,DC,CB,CC,CC,CC,DC,CB,DC,DD,CC,DC,BB,DC,DC,DC,BB,BB,CC,CB,BA,2.246
CS-97022,BB,BB,CB,CC,BA,BA,DC,CC,BB,CC,CC,BB,BB,BA,CC,CB,CC,BB,DC,BB,BB,BA,BB,DC,BB,CC,CC,BB,CC,CC,BA,BB,BA,BB,CC,CC,AA,AA,BA,BB,BA,2.956
CS-97023,BB,CC,CB,CC,DC,BA,CB,CC,BA,CC,CB,BA,DC,AA,CB,BB,DD,BA,CB,CC,BA,BB,BA,BB,CB,BB,DC,BB,CB,BB,BB,DC,BA,BB,CC,DC,AA,BA,BB,CB,BA,2.953
CS-97024,AA,BA,AA,BA,AA,AA,CB,BA,BB,AA,BB,BA,BB,BA,AA,BA,BA,AA,BA,BA,AA,BB,BA,BA,BA,BA,CB,BB,BA,BB,BA,CB,AA,CB,BA,CB,BB,AA,BA,BA,BA,3.586
CS-97025,AA,CB,BA,BB,BB,BA,BB,AA,AA,BA,CC,AA,BB,BA,BA,AA,BB,AA,BA,CB,BA,BA,BB,AA,BB,BB,CB,BB,BA,BA,AA,CB,AA,BB,BB,CB,BA,AA,BA,BA,AA,3.475
CS-97026,CC,DC,CC,DC,DD,CB,DD,CC,BA,BB,DD,BA,DC,BB,DC,CC,DD,BB,DC,DC,CC,DC,CB,CB,DC,CC,DC,BB,DD,DD,DD,CC,BB,DC,CB,DC,BB,BA,CC,BB,BA,2.228
CS-97027,AA,BB,AA,BA,BA,AA,CC,AA,AA,BA,BB,BA,BB,BA,BA,BA,CB,AA,BB,CC,AA,BB,BA,BA,BB,AA,CC,BB,BA,BA,BB,DC,BA,BB,BB,CB,BA,AA,BB,BA,AA,3.44
CS-97028,CC,CC,DC,DC,DC,BB,DD,CC,BB,BB,BA,BB,DD,CC,DC,CC,DC,DC,CC,DC,CC,CC,CC,DC,CC,CC,DD,BB,DD,DC,CC,DC,CC,DD,DC,DC,BB,BA,CC,CB,BA,2.188
CS-97029,BB,BB,BA,BB,CB,AA,BB,DC,BA,BA,DC,AA,AA,BB,BB,BB,CB,AA,CB,CC,BA,BA,BA,BA,CB,BB,CC,BA,BA,CC,BB,DC,AA,BB,BB,CC,BA,AA,CB,BB,BA,3.195
CS-97030,CC,CB,CC,DC,BB,BB,CC,CC,CC,BB,DD,BA,DC,CC,CB,CB,CC,CB,CC,DC,CB,DC,CB,CC,CC,DC,DC,CB,DC,DD,DC,DC,BA,CC,CC,DC,BA,BA,CC,DC,CB,2.294
CS-97031,BA,BB,AA,BB,CB,BA,BB,AA,BA,AA,BB,BA,CB,BA,BA,AA,BA,AA,AA,CB,AA,BB,BB,BA,BA,BB,CC,BA,BB,BB,BA,CC,AA,BA,BA,CB,BA,AA,BB,BB,AA,3.443
CS-97032,AA,CC,BA,CC,BB,BA,CB,BB,BA,BA,BB,BB,BB,AA,BA,AA,CC,BA,BA,DC,BB,CB,BA,CB,BB,CC,CC,BB,BA,CB,CB,DC,BB,CC,CC,CC,AA,AA,BB,BB,BA,3.133
CS-97033,BB,CC,AA,DC,BA,AA,BA,AA,BA,BA,CB,BA,BA,BA,BA,BA,BA,AA,BB,CC,AA,BB,BB,BA,BB,BB,CC,CB,BA,CB,BB,DC,AA,BB,BB,DC,AA,BA,BB,CB,BB,3.22
CS-97034,AA,CC,BA,BB,BA,BB,DC,BB,BA,CB,DC,AA,BB,BA,BA,BA,CC,BA,BB,CC,AA,CC,BB,BA,CB,BB,DC,BA,BB,CB,BB,CC,BA,CB,CB,CB,BA,AA,BB,BA,BB,3.112
CS-97035,BB,CB,BA,AA,CC,BA,DD,BA,BA,CC,DC,AA,CC,AA,BB,BA,BB,BA,DC,DC,AA,BB,BA,BB,CB,BA,CC,BA,CC,BB,CB,BA,BA,BB,CB,CC,AA,AA,BB,BA,BA,3.16
CS-97036,BB,CC,CB,DC,BB,BA,CB,BB,BA,BA,BB,BA,BB,BA,DC,BA,BB,AA,DC,DC,AA,CC,BB,BA,CB,BB,DC,BA,CC,CB,BB,CC,AA,CC,BB,CC,BA,AA,CB,CB,BA,3.019
CS-97037,BB,BB,BA,CB,BB,BA,CC,BB,BA,BB,DC,AA,CC,BA,BA,BA,CC,BA,BB,CB,BA,CC,BB,BB,CB,BA,CC,BB,BA,CB,BB,CC,BB,CC,CB,CC,BA,AA,CB,BA,BA,3.164
CS-97038,BB,CC,BA,CB,BB,AA,AA,BA,BA,BA,BA,BA,DC,AA,BA,BA,BB,AA,BB,CC,BB,CB,BB,BA,BB,BA,BB,BB,CB,BB,BA,CB,AA,BB,BB,CC,BA,BA,BB,BB,BA,3.332
CS-97039,DC,DC,DD,DD,CC,CC,DC,DD,CC,CC,DC,BA,CC,BB,CB,BB,CC,BA,DC,DC,BB,CB,CB,CC,DC,DC,CC,DC,DC,DC,DC,DC,BA,DC,DC,DD,BA,BB,CC,DC,BB,2.165
CS-97040,BA,BA,BB,BB,BA,AA,BB,AA,AA,BA,AA,BB,CB,AA,BA,AA,BA,AA,BA,AA,BA,AA,AA,BA,AA,BA,BA,BA,AA,AA,BA,AA,CC,BB,BA,BB,AA,BA,BB,BB,AA,3.7
CS-97041,BA,CB,CB,CC,BA,AA,AA,CB,BA,CB,CB,AA,CC,BA,BB,BB,CB,BB,CC,CC,BB,CC,BB,BA,CB,BB,CB,BA,CC,CC,CC,DC,AA,BB,CB,CC,BA,AA,BB,BA,BA,3.033
CS-97042,BB,CC,CC,CC,DC,BA,DC,CB,BB,BB,BB,BA,CB,BB,BA,BB,DC,CC,CB,CC,BA,DC,BB,CC,CC,CB,DC,CB,CB,DC,BB,CC,BB,CC,BB,DC,BA,AA,CB,BB,BA,2.696
CS-97043,BB,CC,BB,CC,CB,BA,DD,BA,BA,CB,BA,BA,CB,BA,BB,CB,DC,BB,DC,DC,BA,BA,BB,BA,AA,CB,DC,BB,DC,DC,CC,DC,BA,DC,CB,DC,AA,BA,CC,BB,BA,2.851
CS-97044,DC,BB,CC,BB,CC,BA,BB,CB,AA,AA,CC,BA,DD,BB,DD,BA,DC,BB,CC,CC,DC,CB,BA,BB,BB,BA,BB,BA,CB,BB,BB,CB,BA,BB,CB,CC,AA,BA,CB,BB,AA,3.058
CS-97045,DD,CC,,,,DC,,,DC,FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.493
CS-97046,BB,CB,CB,DC,DC,CC,DD,BB,BA,BB,CC,BB,DC,CB,DC,DC,BB,DD,DD,DC,DC,DC,DC,DD,DD,DD,BB,CC,BB,BA,DC,DD,BB,DC,DC,CC,CC,CB,CC,DD,CB,2.069
CS-97047,BA,DC,CC,DC,DD,CC,DC,DC,BB,CC,DC,BA,DD,BA,DD,DD,DD,CC,DC,CC,DC,CC,DD,DD,DD,DD,DD,CC,DD,DD,BA,CC,DC,DC,CB,DD,BA,CB,DC,CC,CB,1.996
CS-97048,BA,BB,BA,BA,AA,AA,AA,AA,AA,CB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,BA,AA,BA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,3.897
CS-97049,AA,BA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,BA,AA,AA,AA,BB,AA,AA,BA,BA,AA,AA,AA,BA,AA,AA,BA,AA,AA,AA,CB,AA,BB,AA,BA,AA,BB,AA,3.848
CS-97050,BA,BA,AA,BA,BA,AA,BA,AA,AA,BA,BB,AA,BA,AA,BA,BB,BB,AA,BA,BA,AA,DC,BB,AA,BB,BA,CC,BA,AA,CC,AA,CB,BA,CC,BB,DC,BA,AA,BB,DD,AA,3.404
CS-97051,CC,DD,CC,DD,DC,BB,BA,DC,CC,CB,CC,BB,DD,CC,DC,CC,DD,CC,DC,BB,DD,CC,CC,CC,CC,CC,CB,CC,DC,DC,CC,DC,BB,DC,DC,CC,BB,AA,CB,CB,BA,2.254
CS-97052,DC,BB,CB,CB,BB,BB,DD,CB,BB,DD,BB,BA,DC,BB,DC,CB,DC,BB,CC,CC,BB,CC,CB,CB,CC,CC,DC,BB,CC,CC,BB,DC,CB,CB,CC,DC,BA,BA,BB,BB,BA,2.655
CS-97053,CB,CC,BB,CC,BA,CC,AA,CC,BB,CC,CC,BA,AA,BB,BA,BA,BB,BA,BB,DC,BB,BB,BB,BA,CB,BB,CC,BA,BB,CB,BA,BB,BB,CB,CB,CB,AA,AA,BB,BB,BA,3.106
CS-97054,CB,CB,CC,CB,DC,BA,CC,CB,BA,BA,AA,BB,CC,BB,BB,CB,BB,AA,BB,DD,BA,BB,CB,CC,CB,DC,DC,CB,CB,CC,CC,DC,AA,DC,DC,CC,BA,AA,CB,BB,BA,2.793
CS-97055,BA,CC,AA,DC,AA,BB,CB,AA,BA,AA,DC,BA,BA,BA,BB,CB,DC,BB,CC,CC,AA,DC,BB,BA,CB,CB,DC,CB,BB,CC,BB,CC,AA,CC,CB,CB,BA,AA,BB,BA,BA,3.023
CS-97056,BB,CC,BB,DC,AA,BB,BB,CC,BA,AA,BA,BA,BA,BA,BA,BA,DC,BB,CC,CC,BA,CC,CB,BA,CB,CC,DC,BB,BA,BB,BB,DC,BB,CC,CB,DC,AA,BA,BA,CB,BA,3.01
CS-97057,AA,BB,BA,BB,AA,BA,CC,BA,BA,BB,CC,BA,AA,AA,AA,BA,AA,AA,BA,BB,AA,CB,BB,AA,CC,BA,BB,BB,AA,BA,AA,DC,BA,CC,BB,DC,BA,AA,BA,CC,AA,3.4
CS-97058,DC,DC,DC,DD,DD,CB,CC,CC,DD,DD,DC,DD,DC,CC,DD,DC,DC,BA,CC,DC,DC,BA,DC,DC,DD,DD,CC,DD,DC,DD,BA,DC,CB,DC,CC,CC,BA,CB,BB,DC,DC,1.899
CS-97059,BB,BB,CC,BA,BA,BA,DC,BB,BA,BB,CB,AA,AA,BA,BB,BB,BA,AA,CB,CC,BA,CC,BB,CB,BB,BB,CB,BA,BB,BB,BB,DC,AA,BA,CB,DC,BA,AA,CB,BB,BA,3.168
CS-97060,BA,CB,CC,DC,DC,BB,DC,CB,BA,AA,DD,BA,DD,BA,CB,CB,CB,CB,DC,DC,BA,CC,BB,BB,CC,CB,DC,CB,DC,DD,DC,DD,BA,CC,DC,DC,BB,BA,BB,BB,BA,2.57
CS-97061,CC,BB,FF,DC,DC,CB,FD,DD,BA,BB,FF,FF,FF,,,,FF,FF,FF,,FF,,,,,,,,,,,,,,,,,,,,,2.418
CS-97062,BA,CB,CC,DC,CB,CB,DD,CC,CB,BB,DC,BA,CC,BA,DC,CC,CC,DC,DC,CC,BA,CC,CB,BB,DC,CB,DD,BB,CB,DD,CC,CB,BA,CC,DC,DC,BA,AA,BB,BB,BA,2.564
CS-97063,BB,DC,BB,DC,CB,CC,CC,CC,BA,DC,DD,BA,DC,BA,CC,BB,DD,DC,DC,CC,BB,CC,CB,CB,CC,CB,CB,BB,DC,DD,DC,DD,BA,DC,CC,CC,BA,BA,CB,CB,BA,2.468
CS-97064,BA,CB,AA,BB,AA,AA,BB,AA,AA,CB,BA,AA,AA,AA,BA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,BA,BB,AA,AA,AA,BA,AA,BA,BA,CC,BA,AA,BA,AA,BA,3.769
CS-97065,CB,CB,BA,DC,CC,BA,CC,BA,BA,DC,CB,CB,BA,BA,BB,BB,BA,AA,CB,CC,CB,CB,CC,BA,CC,BB,CC,CC,BA,BB,BA,CC,BA,CC,CB,CC,BA,BA,CB,BA,BB,2.999
CS-97066,BA,CB,CB,DD,CC,BB,CC,CB,BA,BB,DC,AA,DC,BB,CB,BB,CC,CB,BB,DC,BA,CB,BB,CC,DC,BB,DC,BB,CC,CC,DC,CC,AA,CB,CB,CB,BA,AA,BB,BB,BA,2.768
CS-97067,BA,DC,CC,DD,CC,BB,DD,CC,CB,BB,CB,BB,CC,BA,DC,BB,DC,CC,BB,CC,BA,CC,BB,BA,BA,BB,CC,BB,CC,CC,BB,CB,BA,CC,CB,CC,BA,BA,BB,BB,BA,2.822
CS-97068,BA,DC,BA,DC,BA,AA,DC,BA,BA,BA,CC,BB,BA,BA,BB,BA,BB,BA,CB,BB,BA,CB,BB,BA,CC,BB,DC,CB,BA,CB,BB,DC,AA,CB,CC,CB,BA,AA,BB,BA,AA,3.189
CS-97069,BB,CC,BB,DC,BB,BA,AA,BA,BA,BA,BA,BA,DC,BA,DD,BB,DC,AA,BB,DC,BA,DD,CC,CB,CC,BB,CC,BA,DC,DC,BB,DC,DC,DC,DC,DC,AA,BB,CB,CC,BA,2.715
CS-97070,AA,DC,AA,CB,AA,BA,CB,BA,BA,AA,CB,AA,AA,AA,AA,AA,BA,AA,BB,BB,AA,BB,AA,AA,BA,BA,CB,CB,AA,BA,BA,CC,AA,BB,BA,CB,BA,AA,BA,BA,AA,3.578
CS-97071,BA,BB,BA,BB,BB,AA,BA,AA,BA,AA,CC,AA,CC,AA,BA,AA,BB,BA,BB,BB,BA,BA,BA,BA,BA,BA,CB,BA,BA,BB,BB,CC,BA,BA,BA,CC,BA,AA,BA,BB,BA,3.49
CS-97072,BA,BB,BB,DC,BA,AA,CB,BB,CB,BB,CC,BA,CC,BA,BA,BA,BB,AA,BA,DC,BA,DC,BB,BB,CC,BA,CC,CC,BB,BA,BA,DD,AA,DC,DC,DC,CB,AA,CC,CC,CB,2.805
CS-97073,BA,CC,BA,CC,CB,AA,BB,BA,BB,BA,BB,BA,CC,BA,BA,BA,BB,AA,BB,CB,AA,BA,BA,BA,BB,BA,CB,BA,AA,BA,BA,CC,BA,BB,BA,CC,BA,AA,BB,AA,BA,3.458
CS-97074,AA,CB,BB,DC,DC,BA,DD,CB,BA,AA,DC,AA,CC,CC,DC,DC,DD,DC,DC,DD,DC,CB,CC,CC,DC,CC,CC,CC,DD,DD,DC,DC,BB,CC,CC,DC,BB,BB,CC,CC,BA,2.34
CS-97075,BA,CB,BB,CB,DC,BA,CC,BA,BB,BA,CC,BA,BB,AA,AA,AA,CB,BA,CC,CB,AA,BA,BA,BB,BB,BB,CC,BB,BB,BB,BB,CC,AA,BA,BB,CC,BA,AA,CB,BB,BA,3.252
CS-97076,CB,DC,BB,DD,CB,CC,DC,CB,CC,CC,BB,CB,CC,CB,BB,BB,BB,BB,CC,CC,BA,BB,BB,CC,CB,BB,CC,CB,DC,DD,DC,DC,BA,CB,CB,CB,AA,AA,BB,BB,BB,2.683
CS-97077,BA,CC,BB,BB,CC,BA,BB,BA,BA,BA,CB,BA,BB,BA,BA,BA,CC,BA,BA,BB,AA,BA,BA,BB,BA,BA,BB,BA,CC,CC,BB,CB,BA,BA,BA,CC,BA,AA,BB,BA,BA,3.378
CS-97078,BA,CB,AA,CC,CB,BA,CC,BB,BA,CB,CC,AA,BA,BB,CB,BA,CC,BA,CB,CC,BA,BA,BA,BA,BA,BB,CC,BA,CB,CB,BB,CB,AA,BA,BA,BA,AA,AA,BB,AA,AA,3.295
CS-97079,BB,CC,BB,BB,AA,BA,CB,BA,BA,CB,DC,AA,BA,AA,BA,BA,CB,BA,BB,CC,BA,BA,BB,AA,BB,BB,CC,BA,CB,BB,BA,DC,BA,BB,CB,CB,BA,AA,CC,BB,BA,3.193
CS-97080,AA,CB,AA,CB,AA,BA,AA,AA,BB,AA,CB,BA,BA,AA,AA,AA,AA,AA,BB,BA,AA,BA,BA,AA,BB,BA,BA,BA,AA,BA,AA,CB,AA,BA,BB,BB,BA,AA,BA,BB,AA,3.647
CS-97081,DC,CB,DC,DD,DD,BB,BA,CB,BB,CC,CB,BA,DC,BA,CB,BB,CB,BB,BB,DC,BB,BB,BB,CB,BB,CB,CC,BB,CB,CB,CC,CC,BB,CC,CC,CB,AA,AA,BB,BB,BA,2.815
CS-97082,CC,CC,DC,CC,DD,BB,DD,DC,BB,DC,CC,AA,DD,CC,DD,CB,DD,BA,DC,DC,DC,DD,BA,DC,DC,CC,DC,DC,DC,CB,AA,CC,BA,CC,DC,DC,CB,BA,CC,DC,CB,2.171
CS-97083,AA,BB,AA,BA,AA,BA,BB,AA,AA,BA,CB,AA,AA,AA,AA,AA,BA,AA,AA,BB,BA,BA,BA,AA,BA,BA,BA,AA,AA,AA,CB,CC,AA,AA,BA,BA,BA,AA,AA,AA,AA,3.761
CS-97084,CB,CB,BA,CC,CB,BB,DC,BA,CB,CB,DC,AA,DC,BA,DC,CB,DC,BB,DC,DC,BB,CC,BA,CB,CC,CB,DC,BA,DC,DC,CB,DC,BB,CC,CB,CB,AA,AA,BA,BA,BA,2.763
CS-97085,BA,CC,BA,DC,CB,BA,DC,BA,CB,AA,DC,AA,CC,BA,CB,BB,DC,BB,CB,DC,BB,CB,BB,CB,CB,BB,CB,CC,BB,CB,CB,CC,BA,BB,BA,BB,BA,BA,CB,CB,BA,2.938
CS-97086,CC,DC,BB,DD,CC,DD,DC,CB,CC,BA,DD,BA,DC,CB,CB,CC,DD,CC,DC,DC,BB,DC,CC,DC,DC,DC,DC,DC,DC,DD,DC,DC,DC,DC,DC,DC,BB,BB,CC,DC,BA,2.06
CS-97087,DD,DD,DC,CB,FD,DD,DD,DD,DC,DC,DC,BB,FD,DC,DD,DD,FD,DD,DD,FD,FD,FD,DD,DD,DD,DD,DC,DC,DC,DD,FD,DC,CC,DD,,,,,,,,1.261
CS-97088,CC,CC,CB,CC,DC,CB,DC,CC,CC,DC,BA,BB,DC,BA,CC,DC,DC,DC,DC,DC,BB,BA,BB,BB,BB,DC,DC,BB,DD,DD,BB,DD,BA,DC,DC,DC,BA,BA,DC,CB,BB,2.378
CS-97089,CB,CC,BB,CC,BA,BA,BB,BA,BA,CC,BB,BA,CB,BA,BB,CC,DC,CC,CB,DC,BA,DC,BB,CB,BB,CC,CC,BB,CB,CB,BA,DC,BA,CB,CC,CC,BA,BA,BB,BA,CB,2.861
CS-97090,DC,BB,DC,DC,DD,BB,DD,DC,CB,DD,BB,BA,DD,CC,DD,CC,CB,CB,CC,DC,DD,BA,CB,CC,CC,CC,CC,CB,DC,DC,BB,BB,CB,DC,CC,CB,BA,AA,DC,CC,BA,2.363
CS-97091,DC,CB,DD,CC,DD,DD,DC,CC,CC,CC,DC,AA,DC,BB,DD,CC,DD,CC,DC,DC,CC,DD,BA,DC,CC,CC,DC,BA,DD,DC,DC,DC,CC,CC,DC,DC,BA,BB,CC,CC,BA,2.084
CS-97092,FF,DC,DD,DD,FF,DD,DD,DD,CC,DC,DC,BB,FD,FF,FF,FF,FD,FD,FD,,DD,,,,,,,,FF,FF,,,,,,,,,,,,1.38
CS-97093,DD,DC,DD,DD,DD,CC,BB,CC,CC,DD,CC,BB,DC,CC,CB,DC,DD,CC,DC,CC,CC,CB,DD,CC,DC,DC,DC,DD,DD,DD,DC,DC,BB,DC,DC,DC,BA,BA,CB,CC,CB,1.89
