SeAt No.,PHY101,MTH101,CHM101,ENG101,ECC101,COM100,ECC102,ECC104,ENG102,MTH102,PHY102,MTH113,MTH251,MTH201,ECC201,ECC203,ECC205,ENG201,ECC215,ECC002,COM339,COM382,ECC301,ECC003,ECC341,MTH323,ECC317,COM333,COM360,COM344,ECC302,ECC303,ECC417,ECC403,ECC426,ECC421,ECC412,ECC413,ECC415,COM490,COM491,CGPA
CS-97094,AA,BB,AA,BB,BA,AA,BA,AA,BA,AA,BA,AA,AA,AA,BB,AA,AA,AA,AA,BB,AA,BA,AA,AA,AA,AA,BA,BA,BA,AA,AA,BA,AA,AA,BA,BB,AA,AA,AA,BA,AA,3.861
CS-97095,DC,DD,DC,DD,DC,DC,DC,DD,CC,BB,DC,BB,DC,CC,DC,DC,BB,DC,DC,DC,BB,CC,DC,DC,DD,DC,DD,CB,DD,DD,DC,DD,DC,DC,DC,CC,CC,BB,DC,DC,BB,1.805
CS-97096,AA,CB,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BA,AA,BA,AA,BA,AA,AA,AA,BA,AA,3.925
CS-97097,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,BA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,BA,BA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,3.919
CS-97098,AA,CB,AA,BA,CB,BA,CB,BA,BA,BA,CC,AA,BA,BB,BA,BA,BB,BA,CC,DC,BA,CC,BA,AA,BB,BB,CC,BA,BB,BB,BB,CB,BB,BB,CC,CC,BA,AA,BA,BA,BA,3.258
CS-97099,AA,BB,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,BA,AA,AA,AA,AA,AA,3.963
CS-97100,CC,CC,BA,CB,CB,DC,DD,CB,CC,CC,DD,AA,BA,BA,BA,DC,CC,CB,CC,DC,AA,DC,CC,CC,BB,CC,DC,CC,DC,DC,CC,DD,AA,CB,DC,DC,BA,BB,CC,DD,BB,2.396
CS-97200,CB,BA,BB,CB,CC,AA,CB,CC,CC,CC,BA,BB,CC,BA,CC,CB,DC,CC,CB,CB,BB,CC,CB,BB,BB,BA,DC,DC,DC,DC,DC,CC,BB,CC,BB,CC,BA,BA,BB,CC,BB,2.648
CS-97201,AA,CC,BA,BA,BA,AA,BB,CB,CC,BB,CB,DC,CC,CC,CC,BB,DC,CC,CC,DC,CB,DC,BB,CB,CB,BA,DC,BB,DC,CB,DC,CC,BA,DC,DC,DC,,,,,,1.992
CS-97101,AA,CC,BA,CC,AA,AA,AA,AA,BA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BA,AA,BA,BA,BA,BA,BA,AA,BA,AA,AA,AA,BA,AA,BA,BA,BB,AA,AA,BA,BA,AA,3.772
CS-97102,DD,DC,DC,DD,CB,DD,DC,DC,DC,CC,DD,DD,DD,CC,DC,CB,DC,DD,DD,AA,DD,DD,CC,BA,BB,CB,DC,DD,CB,DD,DC,CB,DD,CB,CC,DD,DD,DC,DC,DC,DC,1.768
CS-97103,BA,CC,BA,CB,CC,CB,BA,BA,CC,BA,CC,AA,CC,BA,BB,BA,CB,BA,CC,CC,BA,CC,BB,BB,CB,BB,CB,BA,BA,BB,CB,BB,BA,BB,BA,BB,BA,AA,BA,CB,BA,3.176
CS-97104,BB,CB,BA,BB,CB,BA,BB,BB,BA,AA,CC,BA,BB,BA,DC,BA,BB,BA,BA,CC,CC,BA,BA,BB,BA,BA,BB,BB,BB,BB,BB,DC,BA,BB,BB,BB,BA,AA,BA,BA,BA,3.335
CS-97105,AA,DC,AA,CC,AA,BA,BB,AA,BA,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BA,BA,BB,BB,AA,BA,AA,CB,AA,AA,BA,BA,AA,AA,AA,AA,AA,3.758
CS-97106,AA,DC,AA,CC,DD,BA,CC,BA,AA,BA,CC,BA,BB,AA,BA,BA,BA,AA,BA,CB,AA,CC,BB,BA,CB,BB,BB,BB,BB,BB,BB,CC,CB,BB,BB,CC,CB,BA,BB,BA,AA,3.208
CS-97107,DC,DD,DC,DD,DD,DC,DC,CC,BB,CC,DD,BB,DD,CB,DD,CB,DD,DC,DD,DD,DC,DD,CC,DC,DC,DC,DC,CB,CC,DD,DC,DC,DC,DD,DC,DC,BA,BA,CC,DC,BB,1.845
CS-97108,BA,BA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,BB,AA,AA,AA,BA,AA,3.946
CS-97109,BA,CC,AA,BA,BB,BA,DC,BA,AA,BA,DC,AA,BB,BA,AA,BA,DC,BA,CC,CB,AA,CC,BB,BA,CC,BB,DC,BA,BB,CB,CB,DC,BA,BB,CB,CB,BA,AA,BA,BA,AA,3.195
CS-97110,CC,DC,CC,DC,DC,CB,DC,DC,BB,CC,DD,AA,CC,BB,DC,BB,DC,BB,DC,DD,DD,BB,CB,BB,CB,CC,CC,CB,DC,DC,BB,CC,DC,DC,CC,DC,BA,BA,CB,DC,CB,2.3
CS-97111,AA,CB,BB,BA,BA,AA,BA,BA,AA,AA,BB,AA,BA,AA,BA,AA,BA,AA,BA,BB,AA,BA,AA,AA,AA,BA,BB,AA,AA,BA,AA,CC,AA,BA,BA,BA,AA,AA,BA,AA,AA,3.759
CS-97112,BA,DC,AA,BB,AA,AA,CC,AA,BA,BA,BB,AA,AA,AA,AA,AA,BA,AA,CB,CB,AA,BB,BA,BA,BB,BA,CC,BA,BA,BB,BA,DC,AA,BA,BA,CB,BA,AA,BA,BB,BA,3.516
CS-97113,BB,DC,BA,CC,CC,DC,DD,CC,CB,BB,DD,AA,DD,BA,CC,CC,DD,DC,DD,DC,DC,DD,CC,DC,DD,DC,DD,CC,DD,DD,CC,CB,CC,DC,DC,DC,BB,BA,CB,DC,BB,2.087
CS-97114,AA,DC,BA,DC,AA,BA,DC,BA,BA,CC,BB,AA,CB,BB,BA,BB,CB,BA,BA,DC,DC,BB,BA,BB,BB,BB,CC,BB,CB,CC,BA,DC,AA,BB,CC,CC,AA,AA,BB,BB,BA,3.137
CS-97115,CC,DC,DC,CC,DC,BB,DC,CC,CC,DC,BB,CB,DC,CC,DC,CC,DD,DC,DD,DD,DD,CC,CC,DC,AA,DC,DC,CC,DC,DD,DC,DD,DC,DD,DC,DC,BB,BA,CC,CC,BA,2.011
CS-97116,CB,CB,CC,CB,CC,CC,DC,CC,BA,CC,CB,AA,DC,BA,DC,BB,DD,CC,DD,DC,CC,CB,BA,CB,DC,CB,DC,BA,DC,DC,DC,DC,CB,BB,CB,CC,BA,AA,CB,BB,AA,2.566
CS-97117,BA,CC,BA,BB,BB,AA,DC,BA,BA,BB,CB,BA,CC,BA,BA,BA,BA,AA,CB,DC,AA,CC,CB,CC,CC,BB,DC,CB,CB,BA,CB,DC,BB,CB,CC,DC,AA,BA,BA,CB,BA,2.999
CS-97118,BB,DC,DC,CC,DD,CC,DD,CB,BA,DC,DD,AA,DD,CB,DC,CC,BB,DD,DD,DD,DC,DD,DC,DD,DC,CC,DC,BA,CC,DC,DD,DC,CB,DC,DC,DC,BB,BA,DC,CB,BB,1.993
CS-97119,BA,DC,BA,BB,BA,BA,CB,BA,BA,BA,DC,BA,BB,AA,AA,AA,CB,BB,CC,CC,BA,BA,BA,AA,BB,BA,CC,BB,BA,BB,BA,DC,AA,BA,BB,CB,BB,AA,BB,BA,AA,3.334
CS-97120,DD,BA,DD,DC,CC,DC,DC,CC,DC,CC,CC,BA,DC,BB,DC,DC,DD,DC,DC,DD,DC,BB,CC,BB,CB,DC,DC,BB,DD,DD,CB,CC,DC,DC,DC,DC,BA,BA,CC,CC,CC,2.056
CS-97121,BB,CB,CC,DC,AA,BA,CC,CC,CB,BB,DC,BB,DC,BB,CC,CB,DD,CC,DC,DD,BB,CC,CB,BB,AA,DC,CC,BB,DD,BB,BA,DC,BA,DC,DC,CC,BA,BA,BB,CB,CB,2.552
CS-97122,CC,BB,CB,DC,DC,CB,CC,CC,CB,BB,CB,AA,DD,CC,DC,DC,DD,CC,DC,DC,DC,DD,CC,DC,DC,DC,DC,BB,DC,DD,DC,CC,DC,DD,DC,DD,BA,BB,CC,DC,CC,2.028
CS-97123,BB,CB,BB,CB,DD,BA,CC,BA,BA,BA,DC,AA,BB,CB,BA,BA,CC,BA,BB,CB,BA,BB,BB,BB,CB,BA,CB,BA,BA,BB,BB,CB,BB,BB,CB,BB,BA,AA,CB,BB,BA,3.189
CS-97124,CB,DD,CC,CC,DD,BB,CC,BB,BB,CB,BB,BB,BA,CB,DC,BA,CC,AA,CB,DC,BA,DC,CC,DC,DC,BB,DC,CC,DC,BB,BB,DD,CB,CC,CB,DC,BA,BA,CC,CC,BB,2.58
CS-97125,BA,BB,BA,BB,AA,AA,BB,BA,BA,AA,BB,AA,AA,BA,BB,AA,BA,AA,BA,CB,AA,BA,BA,AA,BA,BB,BB,BA,BA,BA,AA,CC,AA,BA,AA,CB,BA,AA,BA,BB,AA,3.651
CS-97126,BA,DC,BA,DD,AA,CB,DD,BB,BA,BA,DC,AA,AA,BA,BA,CB,DC,CC,CB,CC,BA,CB,BB,BA,BB,CC,CC,BB,CC,CC,BA,DC,AA,CC,CC,CC,BA,AA,BA,BB,BA,2.928
CS-97127,BA,DD,BA,BB,BB,AA,DC,BA,BA,BA,DC,AA,CB,BA,CC,CB,CC,CB,DC,DC,BA,DC,CB,CB,CC,BB,DC,CB,CC,CB,BB,DD,CB,CC,CC,DC,BB,BA,CC,DC,BA,2.659
CS-97128,BB,CB,AA,BB,BB,BA,DC,BA,BB,BB,DC,BA,BA,BA,BA,BA,BB,CB,BA,DC,CB,CB,BB,BB,CB,CB,CC,BA,BB,BA,BA,CB,BA,BB,BB,CC,BB,AA,BA,BB,BA,3.174
CS-97129,BA,CC,CB,BB,CC,AA,BB,BA,BA,CB,AA,BA,CB,AA,DC,BA,CB,BA,CC,CC,BB,CC,CB,BB,CB,BA,CC,BA,CC,CB,BB,CC,AA,CC,BB,CB,AA,AA,CB,BB,BA,3.03
CS-97130,CC,DD,CB,DC,DC,BB,DC,CC,CC,DC,DC,AA,DC,BB,CB,BB,DD,CB,CC,DC,CC,DC,BB,DC,DC,CB,DC,BB,DC,DD,CC,CC,AA,DC,DC,DC,BA,BB,CC,CC,BB,2.208
CS-97131,BB,DC,CB,DC,CB,BB,DC,BA,BB,BA,CC,AA,CB,BB,CB,BB,DC,BB,CB,DC,BB,DC,BB,BB,DC,DC,DC,BB,CB,CC,BB,DC,BA,CC,DC,CC,AA,BA,CB,CC,BA,2.698
CS-97132,BA,DC,BB,CB,DC,BA,DC,BB,BA,BA,DC,BA,BA,BB,CC,BB,CC,CB,DC,DC,CB,BB,BB,CB,BB,BB,DC,CB,CB,DC,CC,DC,AA,CB,CC,CC,BA,AA,CB,CB,BA,2.823
CS-97133,BA,CC,CB,DD,DD,CB,CC,CB,BA,BA,DD,BA,CC,BB,CB,CB,DC,BB,DC,DC,DC,DC,BA,CC,DC,BB,DC,CB,CC,DC,CC,DD,BA,CC,DC,DC,BA,BA,CC,DC,BA,2.407
CS-97134,CB,DC,DC,DD,DC,BA,CC,DC,DC,CC,DD,BA,CB,CB,DD,BB,BB,BB,CC,DD,AA,DC,CB,CB,DC,CC,CC,CB,CB,CC,BB,DC,BA,CC,CC,CC,BA,BA,CC,CC,BB,2.379
CS-97135,BA,DC,BB,DD,CC,BB,CC,BB,BB,BB,BA,BB,DC,CC,CC,BA,CB,BA,CC,DC,BB,DC,BA,BB,DC,CB,DC,CB,DC,DC,CB,DC,BA,CC,CC,DC,BA,BB,CC,CC,BB,2.579
CS-97136,BA,DC,BA,DC,BB,AA,CC,BA,BA,AA,CC,BA,AA,BB,CC,BB,CC,BA,BB,DC,BA,DC,BA,BB,CC,CB,DC,CC,CC,CC,CC,DC,BA,CC,DC,DC,BB,BA,CC,CC,CB,2.711
CS-97137,DD,DC,DC,DD,DC,DC,DD,DC,CB,DC,DD,CC,DC,CC,DD,DC,DC,DD,DC,DC,CC,DD,DC,DC,DD,DD,DC,DC,DD,DD,CC,DC,BB,DC,DC,DC,BA,BA,CC,DD,CB,1.714
CS-97138,DC,CC,FF,FF,FF,BB,FF,FF,BA,CC,FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.653
CS-97139,DC,DC,CC,DC,DD,DC,DC,DD,DC,DC,DC,BA,DD,DC,DD,DD,DD,DC,DC,DC,DC,DD,DC,DD,CC,BA,DC,CC,CB,DD,DC,DC,CC,CC,DC,DD,BB,CB,CC,DC,BB,1.749
CS-97140,DC,DD,CC,DC,DD,DD,DD,DC,CC,DD,DC,BA,DD,CC,DD,DC,BB,DC,DC,DD,DC,DD,DD,DD,DD,DD,DC,DD,DD,DC,AA,DD,DD,CC,DD,DC,CB,BB,DC,DC,CB,1.708
CS-97141,AA,CB,BB,BB,BA,BA,AA,AA,AA,DC,BA,BA,CC,BA,CB,CB,AA,BA,CB,BB,AA,BA,BB,AA,BA,BB,CB,CB,CB,BB,BB,CC,BA,BB,BA,CC,BA,AA,AA,BA,AA,3.363
CS-97142,DC,BB,DD,CC,DD,CC,CB,DD,CC,DD,DD,CB,DD,DC,DC,DC,DD,DD,DD,CC,DC,DD,BA,CB,DC,DD,CC,CC,CB,DC,CB,DC,DD,DC,DC,DC,DC,CC,DC,BB,CC,1.763
CS-97143,CC,CB,BB,BA,AA,BA,CC,FF,BA,,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.943
CS-97144,DD,DD,FF,FF,FF,DD,FF,FF,DD,FF,FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CS-97145,AA,BA,AA,AA,AA,AA,AA,BA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BA,BB,AA,BA,AA,BA,AA,AA,AA,BA,BA,AA,AA,BA,AA,3.906
CS-97146,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BA,BA,AA,AA,BA,AA,AA,AA,AA,AA,BA,BB,BA,AA,BA,BB,AA,AA,AA,BA,BA,AA,AA,AA,BA,3.873
CS-97147,BA,CC,AA,BA,CB,AA,BB,CC,BB,DC,AA,BB,BA,AA,AA,CC,CC,DC,CC,BA,BA,CC,BA,BB,BA,BA,CC,BA,CB,CC,CB,CB,AA,BA,BA,BA,BA,AA,BA,BB,BA,3.217
CS-97148,BA,BA,BA,DC,CC,AA,BB,BB,BA,DD,BA,BA,BA,BB,DC,CB,DC,CC,DC,CB,CB,DC,BB,CB,BB,BA,DC,CC,CC,DC,DC,CC,BB,DC,DC,DC,BA,BA,CC,CC,BB,2.603
CS-97149,AA,BA,AA,AA,BB,BA,BA,BB,BB,AA,AA,BA,AA,AA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BB,AA,AA,BA,BB,BA,BA,BB,CB,BA,BA,BB,BB,BA,AA,BA,BB,BA,3.625
CS-97150,AA,BB,AA,AA,BA,AA,BA,BB,BA,AA,AA,BA,BA,AA,CB,BB,CB,BA,BA,AA,BA,CB,BA,BB,BA,BA,CB,BA,CB,CB,DD,CC,AA,BB,CC,CC,BA,AA,BA,BB,BA,3.366
CS-97151,AA,CB,AA,AA,BB,AA,BA,BB,BA,BB,AA,BA,BB,AA,AA,BA,DC,BB,CB,AA,BA,BB,AA,BB,BA,AA,CC,BA,BB,CB,BA,CC,BA,AA,BA,BB,BA,AA,BA,BA,BA,3.513
CS-97152,BA,CC,BA,BA,CB,AA,CB,DC,CC,CB,BA,BB,CC,BB,CB,DC,DC,CC,CB,CC,BB,CC,CB,BB,BB,BA,DC,CC,CC,DC,DC,CB,BA,CC,CB,DC,BA,BA,BA,DC,CC,2.631
CS-97153,BA,BA,AA,AA,BA,AA,AA,CC,AA,BB,AA,BA,AA,AA,BA,BA,CC,BA,CC,AA,BA,BB,BB,BB,BA,BA,BB,DC,CC,CB,DD,BB,BA,CB,BB,BB,BA,AA,BA,CC,BA,3.365
CS-97154,AA,BB,BA,BB,BB,BA,DC,BA,BB,DC,AA,BB,CC,BA,CC,CB,DC,DC,CB,BB,BB,CB,BA,BB,BA,BA,CC,BB,CB,DC,DD,CB,BA,CC,BB,CC,BA,AA,CB,CC,BB,2.936
CS-97155,BA,BA,BA,CB,BB,BA,CB,BA,BB,DD,BA,BB,CC,AA,CC,DC,BA,DC,DD,DC,BA,DC,BB,CC,BB,BA,DC,BA,DC,DC,DD,DC,BB,CC,DC,CC,BB,AA,DC,CB,BB,2.603
CS-97156,BA,BA,AA,AA,BA,AA,BA,BB,CC,BB,AA,AA,BA,BA,DC,BA,DC,BB,BA,BB,BA,BA,BA,BB,BA,BA,BB,BB,BB,BB,CC,BB,AA,CB,CC,CC,BA,AA,BB,CC,AA,3.254
CS-97157,AA,BA,BA,AA,BA,AA,AA,BA,BA,BA,AA,BB,AA,AA,BA,AA,BA,BA,BA,BA,BA,AA,BA,BB,AA,AA,BA,BB,BA,BA,CB,BB,BB,BA,BB,BB,BA,BA,BA,CC,BA,3.662
CS-97158,BA,CB,BA,AA,CB,AA,BB,BB,BB,BB,BA,BA,BA,BA,CB,BA,BB,BA,BB,BA,BA,CC,BB,BA,BB,BB,DC,BB,BA,BB,CC,BB,BA,CB,CC,CC,BA,BA,CB,CC,BA,3.182
CS-97159,BA,BA,BA,AA,BA,AA,BA,BA,CB,CB,BA,CB,CC,AA,DC,BA,CC,BB,CC,BB,AA,CC,BB,BB,BA,BA,DC,BA,CB,BA,BB,DC,BA,CB,CB,CB,BA,AA,BB,CC,BA,3.114
CS-97160,AA,DC,BA,AA,BA,AA,AA,AA,BB,BB,AA,BA,AA,AA,AA,AA,AA,BB,BA,AA,AA,BA,AA,BB,AA,AA,BA,BB,AA,BB,BA,CB,AA,AA,AA,BB,BA,AA,AA,BA,AA,3.725
CS-97161,AA,AA,AA,BB,AA,AA,BB,BB,CC,BB,AA,BA,BB,AA,DC,BA,DC,BB,BB,CB,BB,BA,BA,CB,AA,BB,CC,BA,BA,BA,CB,BB,BA,BB,CB,CC,BA,BA,BA,CC,BB,3.261
CS-97162,AA,BA,BA,BB,BA,AA,BA,BB,CB,BA,AA,BA,AA,AA,CB,BA,BA,BA,BA,BA,BA,AA,AA,BA,BA,BA,BA,CC,BB,BA,CC,CB,BA,AA,BA,DC,BA,BA,BA,CC,BB,3.5
CS-97163,AA,CB,AA,AA,BB,AA,BA,BA,AA,BA,AA,BA,BA,AA,AA,BA,CB,CB,BA,AA,BA,BA,AA,BB,AA,AA,BB,CC,BA,BB,BB,CB,AA,AA,BA,CB,BA,AA,BA,CB,BA,3.571
CS-97164,AA,CB,BB,AA,BB,AA,AA,CB,BB,CB,AA,BA,BA,AA,BA,BB,DC,CB,CC,BA,BA,BB,BB,BB,BA,BA,CC,CB,BB,BB,CB,CB,AA,BB,BB,CC,BA,BA,BB,CC,BA,3.227
CS-97165,AA,BB,BB,BB,BA,AA,BB,CC,BB,CB,BA,BB,CB,AA,CB,BA,CC,CB,CC,CB,BA,CC,BB,BB,BB,BA,CC,CC,CC,CC,CC,CC,CC,CC,CB,CC,BA,BA,CB,CC,BA,2.918
CS-97166,AA,BA,AA,AA,BA,AA,AA,CB,BB,BA,AA,AA,BA,AA,AA,AA,BA,BB,BA,BA,BA,BA,BA,BA,AA,BA,BB,BB,BB,BB,CC,CC,BA,BA,BB,BB,BA,AA,BA,BA,AA,3.625
CS-97167,AA,BB,AA,AA,BA,AA,AA,CC,BB,BA,AA,AA,BA,AA,AA,AA,BB,BA,BB,BA,AA,BA,AA,BA,BA,BA,BB,CB,BA,BB,CB,BB,BA,AA,BA,BA,BA,AA,BA,BA,AA,3.672
CS-97168,AA,BA,BA,CC,BA,BA,BA,BB,BB,BA,BA,BA,CB,BA,CC,BA,DC,BB,CB,BA,BB,BB,BA,CB,BA,AA,CB,CB,BA,CB,DC,CC,BB,BB,BA,DC,BA,BA,BB,CB,AA,3.241
CS-97169,AA,CC,BA,AA,CC,BA,BB,CC,BB,DC,AA,BA,BB,AA,BA,CC,DC,DC,DC,BA,CB,CC,BA,CB,BB,BA,DC,BB,BB,DC,DC,CB,AA,CB,BA,BB,BA,AA,CB,CB,AA,2.982
CS-97170,BB,BA,BA,BA,BA,BA,CB,BB,CB,BB,AA,BB,BA,AA,BB,BA,CB,BB,BA,BA,BA,BB,BA,BA,BB,BA,BB,CB,CC,CC,DC,CC,BB,BB,BB,DC,BA,BA,BA,BB,BB,3.246
CS-97171,AA,AA,BA,AA,BA,AA,AA,BA,CC,AA,AA,BA,AA,AA,BA,AA,AA,BA,AA,AA,BA,AA,AA,BA,AA,AA,BB,CB,BB,BA,BA,BA,BA,AA,AA,BB,BA,BA,AA,BA,BA,3.759
CS-97172,CB,CC,BA,BA,CB,AA,CC,CB,CB,DC,BA,CC,DC,CB,DD,AA,BB,AA,DD,DD,CC,DC,CB,CC,BA,CB,CC,CC,CB,DD,DD,DC,DC,DD,DC,CC,BA,BA,DC,DD,BB,2.35
CS-97173,BA,DC,CB,BA,CC,BA,BB,CC,BA,CC,BA,CC,BB,AA,DC,BB,CC,DC,CC,CB,BB,CB,BA,CB,BA,BA,CB,CC,BA,DC,CB,CB,BA,CB,BB,CB,BB,AA,CC,BB,AA,2.947
CS-97174,CC,BB,BB,DC,CB,BA,DC,DC,DC,DD,BB,BA,DD,BA,DD,CC,DD,DC,DC,CB,CB,DC,BB,CC,BB,BB,BA,CB,DC,DC,DC,CB,CB,DC,CC,CC,BA,AA,CC,CB,BA,2.394
CS-97175,AA,BB,AA,AA,BA,AA,BA,BA,AA,BA,AA,BA,AA,AA,BA,AA,BB,BA,BA,AA,BA,BA,AA,BA,BA,AA,BA,CB,BA,BB,BB,BB,AA,BA,BA,BA,BA,AA,BA,BA,AA,3.723
CS-97176,BA,CC,BA,AA,BB,AA,BA,BB,BA,CB,AA,BA,BA,AA,AA,BA,CC,BB,CC,BA,AA,CC,BA,BA,BB,BA,CB,BA,BB,CB,DD,CC,AA,CB,BB,BB,BA,AA,BA,DC,AA,3.266
CS-97177,BA,CC,BB,BB,BB,AA,BA,BB,BA,DC,AA,CC,BA,BA,BB,CC,DC,DC,DC,CC,BA,DC,CC,BB,BB,BB,DC,BB,CC,DC,DC,DC,BA,DC,DC,DD,BB,BB,CC,DC,BB,2.528
CS-97178,AA,CB,BB,AA,BA,AA,AA,BB,BB,BA,AA,BA,AA,BA,BA,BA,CB,BB,BA,BA,AA,BA,BB,BB,BA,BA,CC,CC,BA,BB,CB,CC,BA,CC,BB,CB,BA,BA,BA,CB,AA,3.369
CS-97179,AA,BA,BA,AA,BB,AA,BA,BB,BA,BA,BA,CC,BA,BA,BB,BB,BA,BB,BB,CB,BA,DC,BB,BB,CC,BB,DC,BB,CB,BB,CB,DC,BA,DC,DC,CC,BA,BA,BB,DC,BA,3.044
CS-97180,BA,BB,CB,AA,BB,BA,BB,BB,CC,BA,AA,BB,BA,BA,CC,BA,DC,BB,CC,AA,BA,CB,BB,BB,CC,BA,CC,DC,CC,CB,DC,DC,BA,BB,BA,CC,BA,BA,CB,BB,BB,3.076
CS-97181,BA,BB,BB,BA,BB,BA,CB,BB,CC,CB,AA,BA,BA,BB,CC,CB,DC,CC,DC,CC,BA,DC,BB,BA,CB,BA,DC,CB,CB,CC,DD,CB,BB,DC,CB,DC,BA,AA,CC,CC,BB,2.749
CS-97182,CC,BA,DC,AA,BA,BB,BA,BA,DC,BA,AA,CC,BA,BA,CB,BA,BA,BA,BB,BB,BA,CC,BB,BB,CC,BA,CC,CC,CC,BA,AA,CC,CC,CC,CB,DC,BA,BA,BA,CC,BB,3.074
CS-97183,AA,BA,BA,AA,AA,BA,AA,BB,BA,BA,AA,BA,AA,AA,AA,BA,BB,BA,BA,AA,BA,BA,BA,AA,BA,AA,CB,BA,BA,AA,BB,BB,AA,AA,AA,BB,AA,BA,BA,BA,BA,3.736
CS-97184,BA,DC,CB,CC,CC,BB,DC,DC,DC,DC,BB,BA,CC,BB,DC,DC,DC,DC,DC,DC,BA,DC,CB,CC,CB,BA,DD,CB,DC,DC,BA,CC,BB,BA,DC,CB,BB,BB,DC,DD,BB,2.311
CS-97185,BA,BB,BA,BA,BB,BA,BB,CB,BB,DC,AA,BA,CB,AA,CC,BB,DC,CB,DC,BB,BA,CC,BA,BB,BB,BA,DD,BB,CC,CB,DC,CB,BB,CC,CC,BB,BA,AA,CC,BB,BA,2.971
CS-97186,AA,BB,BA,AA,BA,BA,BA,CB,CB,BA,AA,AA,AA,BA,BA,BA,BB,BA,BA,AA,AA,BA,AA,BB,BA,AA,BA,BA,CB,BA,CB,CB,BA,AA,AA,CB,BA,BA,BA,BA,BA,3.585
CS-97187,CB,CC,CB,CC,CC,CB,DC,DC,CC,DD,CC,DC,DD,CC,DD,DD,CC,DC,DC,DD,CB,DC,DC,CC,CB,CC,BB,CC,CC,DC,BA,CC,CB,DD,BB,CC,BB,BB,CB,DC,CC,2.053
