SeAt No.,PHY101,MTH101,CHM101,ENG101,ECC101,COM100,ECC102,ECC104,ENG102,MTH102,PHY102,MTH113,MTH251,MTH201,ECC201,ECC203,ECC205,ENG201,ECC215,ECC002,COM339,COM382,ECC301,ECC003,ECC341,MTH323,ECC317,COM333,COM360,COM344,ECC302,ECC303,ECC417,ECC403,ECC426,ECC421,ECC412,ECC413,ECC415,COM490,COM491,CGPA
CS-97188,BB,BA,BB,CB,BB,BA,BB,BB,DC,BB,BB,CC,DC,AA,DD,BB,DC,BA,CB,CC,BA,CC,BA,BA,BA,BA,CB,BB,CC,BA,DC,DC,CB,CC,BB,CC,BA,BB,BB,BB,BB,2.895
CS-97189,CC,BA,BB,CB,CC,BA,BB,DC,CC,DC,BA,CC,DC,AA,DC,BB,DC,BB,BB,CC,CC,CC,BB,CC,CB,BA,CC,BA,CC,BB,DC,CC,CB,CB,CC,DC,BB,BA,CC,CC,BB,2.634
CS-97190,BB,CC,CB,BA,DC,BB,CC,DD,CB,DC,BB,DC,CC,CB,DD,CC,DC,DD,DC,CB,CC,DC,CB,CC,BA,BB,DC,CB,DC,DC,DC,DC,CC,CC,BB,CC,BA,BA,CC,CB,BB,2.352
CS-97191,CC,BB,DC,CC,DC,BA,DC,DD,DC,DC,CC,CC,DD,CC,DC,DC,DC,DC,DC,DC,CB,DC,CB,CC,CB,CB,BB,CC,DD,CB,BA,CC,DC,DD,CC,DC,BA,BB,DC,DC,CB,2.042
CS-97192,BA,BB,CB,CB,CC,BA,BB,BB,DC,CB,BB,CC,CB,AA,CC,BB,CC,DC,DC,CB,BB,DC,CB,CB,BA,BB,DC,CB,CC,DC,CC,BB,BB,CC,CB,DD,BB,BB,CC,DC,CB,2.555
CS-97193,AA,AA,AA,AA,AA,AA,AA,BA,BA,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,BA,AA,AA,AA,BB,AA,AA,AA,BB,BA,BA,AA,BA,BA,3.882
CS-97194,AA,AA,BA,AA,AA,AA,AA,BB,BA,AA,AA,AA,AA,AA,BA,AA,AA,AA,AA,AA,AA,AA,AA,BA,BA,AA,BA,BA,BA,AA,CB,BB,AA,AA,AA,BA,BA,AA,BA,BA,AA,3.844
CS-97195,BB,BB,BB,BB,CB,AA,BB,DC,BB,BB,BA,BA,CB,CB,DD,DC,DD,CB,DC,DC,CB,DD,DD,CC,DC,DC,CC,CC,DC,DC,BB,DC,BA,DC,DD,DD,BA,CB,DC,BB,CC,2.253
CS-97196,AA,BA,AA,AA,BB,AA,AA,AA,BB,BA,AA,AA,AA,AA,BA,AA,BA,BB,BA,AA,AA,BA,AA,BA,BA,AA,BA,BA,BA,BA,CC,BB,BA,AA,BA,BB,BA,BA,BA,BA,AA,3.705
CS-97197,AA,AA,BB,AA,BA,BA,BA,BA,BB,BA,AA,BA,BA,BA,BB,BA,BB,BA,BA,BA,AA,BA,BB,AA,BB,AA,CC,BB,BB,CB,CB,BB,BB,CB,BB,CC,BA,BA,BA,BB,BA,3.451
CS-97198,BA,AA,AA,AA,BA,AA,BA,CC,CB,BB,AA,AA,BA,AA,BB,BA,CB,BB,BB,BA,BB,CC,BA,BA,BA,AA,CB,BA,BB,BB,BA,CB,BB,BA,BB,BB,BA,AA,BB,BB,BA,3.425
CS-97199,CC,BB,BA,DC,CC,BA,DC,DD,DC,DD,BB,DC,DD,CC,DD,DC,CB,DD,CC,BB,DC,DD,CB,CC,CC,CB,CC,CC,DD,CC,BB,CC,DC,DC,DC,DD,CB,BA,DDBA,BA,DC,DC
CS-97202,BA,BA,BA,AA,BA,BA,BB,DC,CB,CC,AA,CC,DC,AA,CC,CB,DC,CC,BB,CC,BA,CB,BB,BB,BB,BA,CC,BA,CB,CB,CC,BB,BA,CC,CB,BB,BA,AA,BB,CC,BB,3.019
CS-97203,AA,BA,AA,AA,AA,AA,AA,CB,BB,AA,AA,BA,BA,AA,AA,AA,CC,AA,AA,BB,AA,AA,BA,BA,AA,BA,BB,BA,BA,AA,CB,BB,AA,BA,BB,CB,AA,AA,BB,BB,BB,3.623
CS-97204,AA,CC,AA,AA,CB,AA,BA,BB,BB,CB,AA,BA,AA,AA,BA,BB,CC,CB,CC,AA,AA,BB,BB,BA,BB,BA,CC,BB,BB,BA,BB,BA,BA,BA,BA,CB,BA,AA,BA,CB,BB,3.373
CS-97205,AA,BA,BA,AA,BB,BA,BA,BB,BA,BB,AA,BA,BB,AA,BA,BA,CC,BB,CC,DC,BA,CC,BA,CC,BA,CC,AA,BA,BB,BA,BA,DC,CB,CB,BB,BB,BB,CC,CC,CC,AA,3.164
CS-97206,AA,CC,BA,AA,CC,BA,CC,DC,BB,DC,AA,CB,CC,BA,DC,CC,DC,CC,CC,DC,BB,DD,CC,CC,CC,BB,DD,CC,DC,CC,DC,CC,BB,DC,CC,DC,BA,BA,DC,DD,CC,2.347
CS-97207,BB,DC,BB,AA,CC,AA,BB,CB,CB,CB,AA,BA,BB,AA,CC,BB,CC,CB,BB,BA,BB,CB,BB,BB,BB,BA,BB,CC,BA,DC,CB,DC,BA,CC,AA,BA,BB,AA,BA,BA,BB,3.094
CS-97208,AA,AA,BA,AA,BB,AA,BA,CB,BA,BA,AA,BB,AA,AA,BA,BA,CC,BB,BB,AA,BA,BA,BB,BA,BA,AA,BB,CB,BB,BA,BB,BB,AA,AA,BA,BB,BA,AA,BA,BB,BA,3.597
CS-97209,AA,BA,AA,AA,BA,BA,BA,BB,BA,BB,AA,AA,AA,AA,AA,AA,CB,BA,AA,AA,BA,AA,AA,BA,BA,AA,BA,BA,AA,AA,AA,BB,AA,BA,AA,BA,BA,AA,AA,BA,AA,3.809
CS-97210,BB,CC,BA,AA,BB,BA,CB,CB,CC,CB,BA,DC,BA,BB,BB,CB,DC,CC,CC,CC,BA,DC,BB,CC,BB,BB,DC,BA,BB,CB,BA,CC,AA,CC,BB,CC,AA,BA,BB,CC,BA,2.857
CS-97211,DD,DD,DD,DC,DC,BB,DD,DD,DC,DD,DC,DD,DC,DC,DD,DC,CC,DD,DC,BB,DD,DC,DC,DC,DC,CC,DC,DD,CB,DC,AA,DC,DC,DC,CC,CC,DC,CC,CB,DC,CC,1.719
CS-97212,AA,CB,BB,AA,CC,BA,AA,CB,BB,BB,AA,BA,AA,AA,AA,AA,BA,BA,AA,AA,BA,BA,BA,AA,BA,AA,BB,CB,AA,BA,BA,BB,AA,BB,AA,BA,BA,AA,AA,BA,AA,3.645
CS-97213,BB,BA,BB,BA,BB,BA,CC,BB,CC,CC,AA,BB,DC,AA,DC,CB,DC,CC,DC,BB,BB,CC,CC,CB,BB,BA,DC,DC,DC,CC,DD,CB,CB,CC,BA,CC,BA,BA,CB,CB,BA,2.717
CS-97214,AA,BB,AA,AA,CB,BA,BA,BB,BB,BA,AA,BA,BA,BA,BA,BB,CC,CC,BB,BB,BA,BB,BB,BB,BA,BA,DC,BA,BB,CB,DC,CB,BA,BB,BA,BB,BA,AA,BA,BB,BA,3.345
CS-97215,CB,CB,BB,DD,DC,BB,CC,DC,CC,DD,BB,CB,DD,BB,DD,DC,CB,DC,DC,DC,DC,DD,CB,CC,CC,BB,DC,BB,DC,DC,BA,CC,DC,DC,DC,DC,BA,BA,DC,DD,BA,2.129
CS-97216,BA,BB,AA,AA,BA,BA,AA,BB,CC,AA,AA,BB,BA,AA,CC,BB,DC,BB,CB,CC,BA,CC,BA,CB,BB,BB,DC,BA,CB,BA,BB,CC,BB,CB,DC,CC,BA,BB,CC,CC,BA,3.075
CS-97217,CB,BA,BA,AA,CC,BA,BA,BA,CC,CC,BA,BA,BA,BA,BB,CB,CC,DC,BB,CC,BA,CB,BB,CC,BB,BB,CB,BA,CC,CC,CB,DC,BA,CB,CC,DC,BA,BA,DC,BB,BA,2.931
CS-97218,DC,CC,CC,DD,DD,BB,DC,DC,BA,DC,CC,DC,DD,CC,DD,DD,DC,DC,DC,DC,DC,DD,CC,DC,CC,CC,DC,CC,DD,CC,CB,DD,DD,DC,CB,CC,BB,BA,CC,DD,BA,1.909
CS-97219,CB,CB,BA,BA,BB,BA,BA,BA,BB,DC,AA,AA,BB,AA,DC,CB,CC,CB,CB,BB,BA,CB,BB,CC,BA,BA,CC,BA,BB,DC,DC,CC,BA,CB,BA,DC,CC,BA,CB,CC,BA,2.942
CS-97220,AA,CB,BA,AA,BA,AA,AA,BB,BA,CB,AA,BA,BB,AA,BA,BB,DC,CB,CC,BB,BA,BB,BA,BA,BA,AA,CC,BA,BA,CB,CB,CC,BA,BA,AA,CC,BB,AA,CB,BB,AA,3.325
CS-97221,CC,BA,BA,AA,CC,AA,BB,BB,BB,CC,AA,BA,BA,AA,CB,CC,DC,DC,CB,CC,CB,CB,BA,CC,BA,BB,CC,BA,CC,CB,BA,CC,BA,BB,BA,CC,BA,AA,CB,BB,BA,3.023
CS-97222,DC,DC,BB,DC,DC,BB,DC,DC,BB,DC,BB,CB,DD,CB,DC,DC,DC,DD,DC,DC,CB,DD,BB,CC,BB,CC,CC,BA,DC,DC,BA,CC,CC,BB,CC,DC,BB,BA,DC,CC,BB,2.212
CS-97223,BB,BA,BA,BB,DC,BB,BB,BB,BA,DC,BA,CC,CC,BA,DC,DC,DC,DD,DC,CC,BB,DC,BB,CC,BA,CB,DC,BA,DC,DC,BA,DC,BA,DC,CC,CC,BA,AA,CB,CB,BA,2.621
CS-97224,BA,CB,BB,DC,BA,BA,BB,BA,CB,DC,BA,BB,BB,AA,CC,CC,DD,CB,CB,BB,BB,BB,BB,BA,BB,CB,DC,BA,CC,CC,DC,CC,CC,CB,BB,DC,BA,BA,CB,CB,BB,2.76
CS-97225,BA,BA,BA,BB,BA,AA,BB,BA,CB,DC,BA,AA,DC,AA,CC,BA,BA,BB,BB,BB,BA,CC,BA,CB,BA,BA,CB,BA,BB,BB,AA,CB,BB,BA,CB,CC,BB,BA,CB,BA,BA,3.229
CS-97226,AA,BB,BA,CB,BA,AA,BB,CB,BB,DC,AA,BA,BA,AA,DC,BA,CC,CC,BB,BA,BA,BB,BA,BA,BB,BA,BB,BA,CC,BB,DC,BB,BA,BA,BA,CB,BA,BA,CB,BA,BA,3.269
CS-97227,AA,AA,AA,AA,BA,AA,AA,BA,BA,BB,AA,BA,BA,AA,BA,BA,CC,BB,BA,BA,BA,AA,BA,BA,BA,AA,CB,BA,BA,BA,CB,CC,BA,BA,AA,BB,AA,AA,AA,AA,BA,3.664
CS-97228,BB,BB,BA,AA,BB,BA,BB,DC,BB,DD,BB,BB,DC,BA,DC,CB,CC,CC,BA,DD,BB,CB,BB,CC,BB,BB,DC,BA,CC,CB,DD,DC,BB,CC,BB,DC,BA,AA,BB,BA,BA,2.756
CS-97229,CB,CB,CB,BB,CC,CB,BB,CC,CC,DD,BA,CC,BB,BA,DC,BB,DD,DD,CC,BA,CB,BB,BA,BB,CB,BA,CC,BB,CB,CB,CB,CC,BA,CB,AA,BB,BA,BA,BA,BA,BA,2.895
CS-97230,CB,BB,CC,BA,DC,AA,BA,CB,BB,DD,BA,CB,BB,BA,CC,DC,DC,DC,BB,CC,BB,DC,CB,CC,BB,CB,DC,BA,CC,DC,CC,DC,BB,CC,BA,CC,BA,BA,CB,BB,BA,2.644
CS-97231,BA,BA,BB,CC,BB,BA,DC,BA,BA,DD,BB,CC,DC,CC,DC,CC,CC,CC,DC,DC,BB,DC,CC,CC,CB,CB,CB,BB,DC,DC,BA,DC,CB,CC,CC,DC,CC,AA,CB,CB,BB,2.462
CS-97232,BA,CB,BB,DC,DC,BA,CC,BA,CC,CB,BB,BB,DC,BA,CC,BB,DC,DC,DC,CC,BA,CB,BB,CB,BB,BB,DC,BA,CC,CC,DC,DC,BA,CC,BA,DC,BA,BA,CB,CB,BA,2.701
CS-97233,BA,AA,BA,BA,BA,AA,BA,BA,BA,BA,BA,BA,BB,AA,BA,AA,BA,BA,AA,BA,BA,BA,AA,BA,BA,BA,BA,AA,AA,AA,BB,CC,AA,BA,BB,BB,AA,AA,AA,BA,AA,3.727
CS-97234,BA,BB,BA,BB,CB,AA,DC,BB,BA,DD,AA,BA,BA,BA,DC,BA,CC,CC,CC,BB,BA,CC,BB,BB,BA,BA,DC,BA,CB,DC,DC,CC,AA,CC,BA,CC,BB,AA,BA,BA,BA,3.042
CS-97235,AA,AA,AA,AA,AA,AA,BA,BA,BA,BA,AA,AA,AA,BA,AA,CB,AA,BA,AA,BA,BA,AA,AA,BA,BA,AA,BA,BA,CC,BA,BB,BB,BA,AA,AA,BB,BB,AA,AA,AA,AA,3.754
CS-97236,AA,BA,AA,AA,AA,AA,BA,AA,BA,AA,AA,AA,AA,AA,AA,AA,BA,BA,AA,AA,AA,AA,AA,BA,BA,AA,BA,BA,BA,AA,BA,BB,AA,BA,BB,BB,BA,AA,BB,BA,AA,3.769
CS-97237,BA,CB,BB,AA,BB,BA,BA,BA,CB,BB,AA,BB,CB,BA,CC,BA,DC,BB,CB,DC,BA,CB,BB,BB,BB,BB,CC,BB,CC,CC,DC,CC,BA,CB,CB,CC,AA,BA,CB,BB,BB,2.948
CS-97238,DC,BB,CB,CB,DC,AA,CC,DC,CC,DD,AA,CC,DD,CB,DC,DC,BB,DC,DC,DC,BB,DC,CC,DC,CB,BB,DD,BA,DC,DC,BB,DC,CC,DD,CC,CC,BB,AA,CC,CB,BB,2.206
CS-97239,AA,BA,BA,BA,AA,AA,BA,BA,BB,BB,AA,BB,BA,BA,DC,BA,CB,CB,BB,BA,BB,BB,BA,BA,BB,BA,BB,BA,CC,AA,BA,CC,BA,BA,CC,DC,BA,BA,CB,BB,BB,3.353
CS-97240,AA,BB,AA,AA,BA,AA,BA,AA,BA,AA,AA,AA,AA,AA,BA,AA,BA,BA,BA,AA,AA,AA,BA,BA,BA,BA,BB,BB,AA,BA,CC,BB,BB,BA,BB,CB,BA,AA,BB,BB,AA,3.573
CS-97241,AA,BA,AA,AA,BB,AA,BB,CB,BA,CC,AA,BB,BB,AA,DC,BA,CC,DC,CB,AA,BB,BB,BA,CB,BB,BA,CC,BA,BB,BB,DD,CB,AA,AA,AA,CB,BA,BA,BA,BA,BA,3.267
CS-97242,BA,CC,AA,CB,CB,AA,BB,BA,CC,DC,AA,BB,BA,BA,CC,CB,DC,DC,CC,BA,CB,BB,BB,CB,CB,BB,DC,BA,CC,DC,CC,CC,BA,CB,BB,CC,CC,BA,CB,CC,BA,2.756
CS-97243,BA,CB,BA,AA,CB,BB,BA,BB,BB,DD,AA,DC,CB,BA,DC,DC,DC,DC,DC,BB,BA,DC,CB,CB,CB,CB,DC,BA,DC,DC,DC,CC,CB,DC,CB,CC,BB,BA,CB,CB,BB,2.595
CS-97244,AA,BA,BA,AA,BA,AA,BA,BB,BA,BB,AA,BA,BA,AA,AA,BA,CC,BB,BA,BA,BA,BA,BA,BA,BA,AA,CB,BA,BA,BB,CB,CC,BA,BB,AA,CB,AA,AA,BB,BA,AA,3.593
CS-97245,AA,BA,BA,AA,BB,BA,BB,BB,BA,CC,AA,BB,BA,BB,DC,BB,CC,CC,CB,BA,CB,BB,BA,BA,CB,BA,CB,BA,CB,CC,BB,CC,BA,BA,BA,CB,BA,BA,BA,CB,BA,3.271
CS-97246,BB,CB,BA,CC,BB,AA,CB,CC,CB,CC,BA,BB,CC,BB,DC,CB,DC,CB,CC,CC,CB,CC,BB,BB,CC,CB,DC,BB,DC,DC,BA,DC,CB,CC,CC,CC,BA,BA,CC,CB,BA,2.605
CS-97247,BA,CB,BA,AA,CB,BA,DC,BA,BA,CB,BA,CB,BA,BA,CC,BA,DC,CC,CC,CB,BA,CB,CB,CB,BA,BA,CC,BB,BB,CC,DC,CC,BA,BB,BA,BB,BA,BA,BB,BA,BA,3.058
CS-97248,BA,BB,BA,BB,CB,BA,CB,BB,BB,DC,BA,BB,CB,BB,DC,BB,DC,DC,CB,DC,BA,DC,BB,CB,BB,CB,DC,BA,DC,DC,CC,DC,BB,CC,CB,CB,BB,BA,CB,CC,BA,2.687
CS-97249,AA,BA,AA,AA,BA,BA,BA,BB,BA,CB,AA,BA,AA,AA,BA,BB,BB,CC,BB,AA,BA,CB,BA,CB,BB,BA,BA,BA,BB,BA,AA,CC,AA,BB,BB,CB,BB,BA,BB,BB,BA,3.432
CS-97250,BA,BA,BA,CB,CB,BB,BB,CB,CC,DD,AA,BB,CC,BA,DC,BB,CC,DC,DC,BB,CB,CB,BB,CC,CB,BB,CC,BA,CC,CC,BA,CC,CC,CB,BB,DC,BA,BB,CB,BB,BA,2.785
CS-97251,AA,BA,BA,BA,BA,AA,BA,BA,CB,AA,BA,DC,BA,AA,CC,AA,CB,BB,BA,BA,BA,CB,BA,BB,BB,BB,BB,BA,BB,BA,CB,CB,BA,BB,CC,CB,BA,BA,BA,CB,BB,3.328
CS-97252,BB,BA,BA,BB,CB,AA,CB,CC,BB,DC,AA,CB,CC,AA,DC,BB,DC,CC,CC,BB,BB,DC,CB,CC,CB,BA,CC,BA,CC,CC,CC,CC,BB,CC,BA,DC,AA,BA,CC,CB,BB,2.756
CS-97253,BB,BB,BB,BB,BB,BA,BB,BA,BB,CC,AA,CC,CB,BB,BA,BB,CC,CC,CB,BB,BA,BB,BA,BA,BB,CB,CC,BA,CC,CC,CB,CB,BA,CC,BB,DC,BA,BA,BB,CB,AA,3.043
CS-97254,CB,AA,BB,AA,BA,AA,CC,CB,CC,DD,CB,CB,AA,BA,DD,BB,CC,DC,CB,DC,CC,DC,BB,CC,BB,CB,DC,BB,CB,CC,DC,DC,CB,CC,CC,DC,CC,BB,CC,DC,CC,2.44
CS-97255,AA,BB,AA,AA,BA,BA,BB,BA,BB,BA,AA,BA,BA,BA,BA,BA,CC,AA,BB,BB,AA,BA,AA,BB,BA,AA,CB,BA,BB,BA,BB,CC,BB,AA,CB,BA,BB,BA,BA,BA,BA,3.512
CS-97256,DC,DD,DC,CC,DD,BA,DD,DD,CC,DC,DC,CC,CC,DC,CC,DD,CC,DC,DD,CB,DC,DD,DC,DC,DC,DC,DD,CB,BB,DC,DC,DC,DC,DC,CC,DC,DC,CC,CB,DC,CB,1.764
CS-97257,CB,DC,BB,CB,DC,BA,CC,BB,CB,DD,BA,CB,BB,BB,CC,CC,DC,DC,DC,CB,BB,DC,CB,CC,BB,CB,DC,BA,CC,CC,BA,BB,BB,CC,CB,DC,AA,BA,DC,CC,BA,2.605
CS-97258,CB,BB,BB,BB,DC,BA,DC,BB,CC,DC,BB,BB,DC,BB,DC,CC,DC,DC,DC,CB,CC,DC,CC,CC,CB,BB,DC,BA,DC,DC,BB,DC,BB,DC,DC,DC,BB,BA,CC,DC,BA,2.311
CS-97259,BA,CC,BA,AA,BB,AA,BA,BA,BA,BB,AA,BB,BA,BA,BA,BA,DC,CB,AA,BB,AA,BA,BA,BB,BA,AA,BA,BB,BA,CB,CB,CB,BA,AA,BA,CB,BA,AA,BB,BA,BA,3.479
CS-97260,BA,BB,BA,AA,BB,AA,AA,BA,BA,BB,AA,BA,CB,AA,CC,BB,BB,BB,BB,BA,BA,BA,BB,CB,BA,AA,BB,BA,BB,CB,BB,CC,BB,CB,BA,BA,BA,AA,BA,BA,BA,3.447
CS-97261,AA,BA,AA,AA,AA,AA,AA,BA,BA,BB,AA,BA,BA,AA,BA,AA,CB,CB,BA,AA,BA,AA,AA,AA,BB,AA,BA,AA,AA,BA,BA,BB,AA,AA,AA,BA,BA,AA,BA,AA,AA,3.751
CS-97262,BB,DC,DC,BB,CB,AA,CB,CB,BB,CC,AA,DC,CC,BB,DC,BB,DC,CC,CC,DC,CB,DC,CC,BB,BB,BA,DC,BB,CC,DC,DD,CB,CC,DC,CC,DC,BA,BA,CC,CC,BB,2.484
CS-97263,BA,BB,BB,BA,BA,AA,BB,BB,CB,BA,CB,BB,DC,BA,DC,CB,CC,BA,CC,DC,DC,DC,CB,BA,CC,CB,DC,BA,DC,CC,BA,DC,DC,CC,CC,DD,AA,BA,CB,DC,BB,2.704
CS-97264,CB,CB,CB,AA,DC,BA,BB,CC,BB,DC,BB,DC,BB,BA,BA,DC,DC,DC,CC,BB,BB,CB,CB,BA,BA,CB,CC,BA,BB,DC,BA,CC,BA,CB,CB,CC,BB,AA,CB,CB,BA,2.806
CS-97265,AA,DC,BA,AA,BA,AA,AA,AA,BA,BA,AA,BA,AA,AA,AA,AA,BA,BA,BA,AA,BA,AA,AA,BA,BA,AA,BA,BA,AA,BA,BA,CC,BA,AA,AA,BA,AA,AA,BA,BA,BA,3.755
CS-97266,BA,BA,BA,BB,BB,BA,BA,BA,BB,CC,AA,CB,BB,AA,CC,BA,DC,BB,CC,BB,BB,CC,CB,CB,CB,CB,CB,BB,CB,CB,DC,CC,CB,DC,BB,CC,AA,BA,CB,DC,CB,2.925
CS-97267,BA,BA,AA,BB,CB,AA,BA,BB,CC,CC,AA,BA,CC,AA,BB,AA,DC,BA,BA,AA,CB,BA,AA,AA,BA,AA,AA,BA,BA,BA,BA,BB,AA,BA,BA,CB,AA,BA,AA,BA,AA,3.54
CS-97268,BA,CC,BA,BA,CC,BB,CC,BA,BB,DD,BA,BB,DC,AA,DC,DC,DC,DD,DC,CC,BB,DC,CC,CB,CB,BB,DC,BA,DC,DC,DC,DC,CC,DC,DC,DD,BB,BA,CC,CC,BB,2.388
CS-97269,AA,BA,BB,BA,BA,BA,BB,BA,BA,CC,AA,BA,BA,AA,BA,BA,CC,BA,BA,BA,BA,BA,BA,BB,BA,BA,BA,BB,BB,BA,BB,BA,BB,BB,AA,CB,BB,BA,BA,BA,BA,3.473
CS-97270,BB,BA,BB,BB,BB,BA,BB,BA,BB,DD,BA,BA,BB,BA,DC,CC,DC,DC,BA,CC,BB,CC,BB,BB,BB,CC,CC,BB,CB,CB,CB,DC,BA,CC,BB,CB,CB,BA,CB,CC,BB,2.845
CS-97271,AA,BB,BA,BA,BA,AA,BA,BB,BA,BA,AA,AA,BB,AA,CB,BA,DC,BA,BA,BA,BA,BA,BA,BA,BA,AA,BB,BA,BB,BA,BA,CC,AA,BB,BA,BB,BB,AA,AA,BB,BA,3.555
CS-97272,BB,AA,AA,CB,BB,BA,BB,CC,DC,DD,BA,BB,DD,AA,BB,BB,DC,DD,DC,CC,DC,BB,AA,BB,AA,BB,CC,BA,BB,DC,DC,CB,BB,AA,CB,CB,BA,BA,CB,BA,BB,2.854
CS-97273,CB,CB,BA,BB,BB,BA,CB,DC,CB,CB,BB,CB,BB,AA,CC,BB,CC,BB,BA,CB,BB,BB,BA,BB,BB,BB,CC,CB,BB,CC,BB,CC,BA,BB,BB,CB,BA,BA,BB,BB,BB,3.055
CS-97274,CB,BB,CB,CB,DC,BA,CB,DC,BB,DC,CB,BB,CC,BA,DD,CC,DD,DC,DC,CC,CB,CC,BB,CC,CB,CB,DC,BB,CC,DC,DD,CC,BA,CB,CB,DC,BA,BA,DC,DC,BA,2.391
CS-97275,BB,BB,BB,BB,CC,BB,DC,DC,BB,DC,BB,CB,AA,BB,CC,BB,CC,DD,DC,BA,CB,CC,BB,DC,BB,BA,CC,CC,CC,DC,CC,CC,BA,CB,CC,DC,BA,BA,CC,CB,BA,2.619
CS-97276,CB,BB,BB,DC,DC,BB,DC,DD,DC,DD,CB,DC,DD,DC,DD,DC,DC,DC,DC,DC,DC,DD,CC,DC,CC,DC,DC,CB,BA,CC,BA,DC,CC,DC,DC,DC,BB,BB,DD,DC,BB,1.905
CS-97277,DD,CC,CB,DD,DC,BB,DC,DC,DC,DD,DC,CC,DC,DC,DC,CC,CC,DC,CC,CB,DC,DD,CC,DC,CB,DC,BB,DC,CB,DD,CB,DC,CB,CB,CB,CC,BB,BB,DD,DD,CC,2.009
CS-97278,BB,DC,DC,BB,DC,AA,BA,BB,CC,DC,BA,BB,BB,BA,CB,BB,DC,DC,DC,BB,BA,CB,CB,CC,CC,BB,CC,BB,CB,CC,BA,CC,CB,CB,BB,CC,BB,BA,DC,CC,BA,2.705
CS-97279,CC,BA,BB,CC,CB,BB,DC,DD,CC,CB,BB,BB,DC,CC,DC,CB,DC,CB,DC,AA,CC,CC,CC,DC,CC,CB,DC,CC,DC,DC,BA,DC,CC,CC,CC,DC,BA,BA,CC,CC,BB,2.408
CS-97280,CC,DC,BB,CC,DC,BA,CC,CC,CB,DD,BA,CC,DC,BA,CC,CC,DD,DD,DC,CC,CC,CC,CB,DC,BB,CC,DC,BB,CC,DC,DD,DC,CC,DC,CB,CC,BB,BA,DC,CB,BA,2.298
CS-97281,AA,BA,BA,AA,BA,AA,CC,AA,BA,BB,AA,AA,BB,AA,BA,BA,BA,CC,AA,BA,CB,AA,BA,BA,BB,BA,BA,BA,BA,AA,AA,CC,BA,BA,BB,CC,BB,BA,AA,BB,BA,3.521
CS-97282,FF,DC,FD,FD,FD,DD,,DD,FF,FD,DD,FD,FD,FF,FF,FF,FD,FD,FD,,FD,,,,,,,,FF,FF,,,,,,,,,,,,1.092
CS-97283,CB,CC,DC,DD,BA,CB,BB,BB,,DD,DC,BA,CC,CB,BB,DD,CC,DC,CB,,DD,,,DD,DC,CC,FD,,DC,DC,FD,,,,DD,,,,,,,2.086
CS-97284,DC,DD,DC,DD,DC,CC,BB,DC,DC,DC,DD,CB,DD,DC,DC,DC,DD,DD,DD,DD,DD,DD,CC,DC,DC,DD,DC,DD,CC,DC,CC,DC,BA,DC,DC,DC,BB,BB,DC,,DC,2.086
